label,features
0,"[-3.02128867e+02 -3.95127992e+00 -4.34188241e+01  3.20873493e+01
  2.24417524e+01  1.67263741e+01 -6.94493048e+00  4.46177570e+00
  3.77723913e+00  4.33788299e+00  1.09303339e+00 -4.63157060e+00
 -2.43553042e+00  2.87924839e+00  3.60011371e+00  1.31611254e+00
 -3.50594302e+00  2.44177022e+00  6.30516413e+00  4.33251799e-01
  4.95565078e-03  2.50907393e-02  4.38504577e-02  2.57991173e-02
  9.64898439e-04  5.93940868e-03  2.09393172e-02  1.60143958e-02
  1.04276066e-03 -2.20214853e-03  6.40485435e-03  1.43939865e-02
  1.28714981e-02  3.99701548e-03  1.31804728e-03  1.12175774e-02
  1.88774388e-02  1.11475982e-02  6.63544787e-04  5.30978631e-03]"
0,"[-2.95636075e+02 -1.23370500e+01 -5.85964943e+01  3.33238522e+01
  2.28689127e+01  9.49445621e+00 -1.40488756e+01  1.26444959e+01
  7.02998923e+00 -3.47301776e+00  6.27325350e-01 -1.80455635e+00
 -7.43364918e+00  3.41397595e+00  3.64669002e+00  4.92558953e+00
 -3.66737744e+00  3.37584768e+00  4.14099798e+00 -3.04073358e-01
  3.05954873e-01  3.91040241e-02 -1.05494847e-01 -6.48421723e-03
 -4.07443247e-02 -6.40897391e-03 -4.13561286e-03  4.84239811e-02
  3.94157840e-02  2.20464267e-03 -2.70211640e-02 -3.17399709e-02
 -2.21518083e-02 -6.91062880e-03 -9.00255096e-03  1.17711762e-02
  3.47222152e-02  1.52131338e-03 -4.23784996e-02 -2.61813592e-02]"
0,"[-3.05749150e+02 -2.00334908e+01 -5.14131708e+01  3.91884046e+01
  2.03213283e+01  1.19174716e+01 -7.29063108e+00  1.28703455e+01
  2.52205082e+00 -2.56375491e-02  7.42808855e+00  8.32340060e-01
 -5.99009741e+00  4.54390289e+00  2.62511133e+00  7.22282141e-01
 -4.04397904e+00  9.13983262e+00  7.00238091e+00 -2.42643953e-01
  3.15889824e-01 -2.22016299e-01 -4.06838933e-01  5.82813869e-02
  2.06422616e-01 -7.28244271e-03 -2.47123092e-01 -1.65854000e-01
 -4.13998574e-02  3.62080432e-02 -7.22318467e-03 -1.29161498e-01
 -1.02759759e-01  1.61217705e-02  4.63938625e-02 -5.46501395e-02
 -1.89178678e-02  1.16950707e-01 -8.55001476e-03 -9.49938065e-03]"
0,"[-3.14285105e+02 -1.36247065e+01 -4.71599771e+01  3.31897871e+01
  2.37903243e+01  1.74990366e+01 -9.52147840e+00  2.39903918e+00
  4.14711484e+00  7.98155707e+00  3.73371097e+00 -3.99849938e+00
 -2.98241251e+00  7.28559292e+00  1.77207773e+00 -1.17760694e+00
 -3.68022286e+00  9.00607717e+00  5.23220883e+00 -8.64004000e-02
  7.15126686e-01 -2.76988098e-01 -5.90068306e-02  3.03938189e-01
 -5.05556735e-02  1.28632114e-02  6.32794611e-02  9.24249103e-02
 -1.91265979e-02  9.98967530e-03  2.41831297e-02  4.88521113e-02
  1.55995384e-02 -2.58239924e-02 -2.14529567e-02  4.94490450e-02
  5.59268042e-02 -9.36076585e-03 -5.75463876e-02  5.04818024e-02]"
0,"[-2.92257871e+02 -1.30532262e+01 -5.63205925e+01  4.05354568e+01
  2.08386239e+01  6.47424880e+00 -7.94012735e+00  1.07478725e+01
 -1.37769170e+00 -7.75280177e+00  2.60050839e+00  3.27702142e+00
  1.23250601e+00 -3.54588581e+00  1.61626639e+00  7.97243056e-01
 -4.07244801e+00  4.66273141e+00  6.60338486e+00 -2.29911193e+00
 -5.17619370e-02  1.90419854e-02 -1.10787257e-02  1.26411979e-01
  1.94345306e-01 -5.19294284e-02 -4.18081141e-02  4.09870414e-02
  1.48964239e-02 -7.56406448e-02  2.76551775e-02  6.56335791e-02
 -2.87036782e-02  2.74613161e-02 -1.37763727e-02 -6.38120631e-02
 -1.58195037e-02  3.30579431e-04 -3.31123151e-02  2.41455464e-03]"
0,"[-2.80094331e+02 -5.27437666e+00 -6.03601642e+01  1.66362610e+01
  2.68823198e+01  2.05077305e+01 -1.17094817e+01 -4.72491799e+00
  9.08391963e-01  9.76865197e+00 -1.01901254e+00 -4.94187395e+00
 -2.99513012e+00  1.20184439e+00  1.75004803e+00  4.45449595e+00
 -1.68024640e+00 -1.85620625e+00  6.99591790e+00  3.37640610e+00
  3.19260384e-01 -2.31132207e-02 -1.49052018e-01 -6.42490901e-02
  4.19468099e-02  6.50388342e-02 -6.33704191e-02 -4.19576706e-02
 -1.77577080e-02  3.11377904e-02  1.81571630e-02 -3.65160469e-02
 -1.64823859e-02 -8.79074579e-04  1.37616437e-02  1.81502387e-03
  9.94356178e-03  3.42801152e-03 -8.86315356e-03  1.66129405e-02]"
0,"[-3.17400934e+02  4.26063558e+00 -5.27113909e+01  1.30098570e+01
  1.75989190e+01  1.78368349e+01 -7.45858790e+00  1.91425589e-01
  8.76098300e-02  2.87594361e+00  1.32443953e+00 -1.40612693e+00
  1.91335522e-02 -2.84126913e+00  2.79741739e+00  1.44962722e+00
 -2.21107558e+00  1.68163112e+00  3.93162265e+00  1.37519690e+00
  4.06628277e-03  5.17044262e-03  3.74081745e-03  2.23071569e-03
  1.46467861e-03  1.89666524e-03  3.38699691e-03  5.29739521e-03
  6.84642192e-03  7.52799522e-03  7.36476022e-03  6.86177174e-03
  6.69193975e-03  7.29165293e-03  8.59273262e-03  1.00400999e-02
  1.08862948e-02  1.06015185e-02  9.17454088e-03  7.13956044e-03]"
0,"[-3.19559964e+02 -1.31825608e-01 -5.05926283e+01  1.53903926e+01
  1.89577965e+01  1.42753677e+01 -8.95868154e+00  4.52944731e+00
  1.08979654e+00 -1.98877276e+00  2.80284797e+00  1.73586494e+00
  1.38455263e+00 -1.28971763e+00  1.52745020e+00 -1.29037246e+00
 -9.45185602e-01  4.34468610e+00  6.12698461e+00  4.91043778e-01
  5.07769478e-02  6.85332188e-02  5.96866506e-02  4.79144296e-02
  3.62415632e-02  2.62842634e-02  1.79791162e-02  1.11190994e-02
  6.06404954e-03  2.58601961e-03 -3.47400608e-04 -2.52547238e-03
 -1.87681341e-03  2.22832953e-03  6.35200101e-03  6.26027364e-03
  2.41541939e-03 -5.11850450e-04  3.87847432e-05  1.32967763e-03]"
0,"[-3.01259920e+02 -3.20677762e+00 -5.14648347e+01  2.15454639e+01
  2.58310928e+01  9.83274080e+00 -7.53637361e+00  4.64596593e+00
 -9.22639577e-01 -4.20999167e+00  9.31308963e+00 -2.03061139e-02
 -2.09071560e+00  9.55889150e-01  2.31172205e+00  3.22125036e-01
 -3.19894481e+00  6.09227181e+00  3.58132210e+00  4.97635064e+00
 -4.89683737e-02  3.05296683e-01 -5.56648650e-02  9.93034933e-02
  9.61447625e-02 -1.25760489e-01 -3.38891079e-02  2.67025006e-02
 -7.96046289e-02 -1.20665059e-01  6.95609486e-02 -7.16455988e-03
 -7.67644016e-02  4.09434953e-03 -2.30967455e-02 -5.37264304e-02
 -3.00781456e-02 -4.08226555e-04 -3.55706946e-03 -1.05093887e-02]"
0,"[-3.06793315e+02 -1.82408898e+01 -5.07882493e+01  4.16159342e+01
  2.02654797e+01  2.30586223e+00 -2.72695099e+00  1.24179881e+01
 -8.23758413e-02 -7.16907707e+00  4.26654516e+00  6.70461114e+00
 -7.15579852e-02 -4.61733992e+00 -3.67438365e-01  1.92990704e+00
  2.94086700e-02  3.82420409e+00  6.05529255e+00  2.52045060e+00
  3.06716271e-01 -3.78501517e-02  4.36210222e-02  3.51026970e-03
 -5.40257653e-03  8.65219798e-03 -1.82275058e-02 -3.85369896e-02
  1.20054359e-02  3.85123546e-02 -5.21299241e-02  4.64114839e-03
 -2.31543799e-03 -4.61116787e-02 -3.10677560e-02  1.46520446e-02
  2.83903845e-03  1.86404178e-02  5.28048266e-02  1.12765995e-02]"
