label,features
0,"[-302.12886664   -3.95127992  -43.41882414   32.08734935   22.44175241
   16.72637412   -6.94493048    4.4617757     3.77723913    4.33788299
    1.09303339   -4.6315706    -2.43553042    2.87924839    3.60011371
    1.31611254   -3.50594302    2.44177022    6.30516413    0.4332518 ]"
0,"[-295.6360754   -12.33705001  -58.59649428   33.32385221   22.86891275
    9.49445621  -14.04887559   12.64449593    7.02998923   -3.47301776
    0.62732535   -1.80455635   -7.43364918    3.41397595    3.64669002
    4.92558953   -3.66737744    3.37584768    4.14099798   -0.30407336]"
0,"[-3.05749150e+02 -2.00334908e+01 -5.14131708e+01  3.91884046e+01
  2.03213283e+01  1.19174716e+01 -7.29063108e+00  1.28703455e+01
  2.52205082e+00 -2.56375491e-02  7.42808855e+00  8.32340060e-01
 -5.99009741e+00  4.54390289e+00  2.62511133e+00  7.22282141e-01
 -4.04397904e+00  9.13983262e+00  7.00238091e+00 -2.42643953e-01]"
0,"[-3.14285105e+02 -1.36247065e+01 -4.71599771e+01  3.31897871e+01
  2.37903243e+01  1.74990366e+01 -9.52147840e+00  2.39903918e+00
  4.14711484e+00  7.98155707e+00  3.73371097e+00 -3.99849938e+00
 -2.98241251e+00  7.28559292e+00  1.77207773e+00 -1.17760694e+00
 -3.68022286e+00  9.00607717e+00  5.23220883e+00 -8.64004000e-02]"
0,"[-292.2578714   -13.05322619  -56.32059253   40.53545682   20.83862392
    6.4742488    -7.94012735   10.74787251   -1.3776917    -7.75280177
    2.60050839    3.27702142    1.23250601   -3.54588581    1.61626639
    0.79724306   -4.07244801    4.66273141    6.60338486   -2.29911193]"
0,"[-280.09433102   -5.27437666  -60.36016423   16.63626096   26.88231976
   20.5077305   -11.70948174   -4.72491799    0.90839196    9.76865197
   -1.01901254   -4.94187395   -2.99513012    1.20184439    1.75004803
    4.45449595   -1.6802464    -1.85620625    6.9959179     3.3764061 ]"
0,"[-3.17400934e+02  4.26063558e+00 -5.27113909e+01  1.30098570e+01
  1.75989190e+01  1.78368349e+01 -7.45858790e+00  1.91425589e-01
  8.76098300e-02  2.87594361e+00  1.32443953e+00 -1.40612693e+00
  1.91335522e-02 -2.84126913e+00  2.79741739e+00  1.44962722e+00
 -2.21107558e+00  1.68163112e+00  3.93162265e+00  1.37519690e+00]"
0,"[-3.19559964e+02 -1.31825608e-01 -5.05926283e+01  1.53903926e+01
  1.89577965e+01  1.42753677e+01 -8.95868154e+00  4.52944731e+00
  1.08979654e+00 -1.98877276e+00  2.80284797e+00  1.73586494e+00
  1.38455263e+00 -1.28971763e+00  1.52745020e+00 -1.29037246e+00
 -9.45185602e-01  4.34468610e+00  6.12698461e+00  4.91043778e-01]"
0,"[-3.01259920e+02 -3.20677762e+00 -5.14648347e+01  2.15454639e+01
  2.58310928e+01  9.83274080e+00 -7.53637361e+00  4.64596593e+00
 -9.22639577e-01 -4.20999167e+00  9.31308963e+00 -2.03061139e-02
 -2.09071560e+00  9.55889150e-01  2.31172205e+00  3.22125036e-01
 -3.19894481e+00  6.09227181e+00  3.58132210e+00  4.97635064e+00]"
0,"[-3.06793315e+02 -1.82408898e+01 -5.07882493e+01  4.16159342e+01
  2.02654797e+01  2.30586223e+00 -2.72695099e+00  1.24179881e+01
 -8.23758413e-02 -7.16907707e+00  4.26654516e+00  6.70461114e+00
 -7.15579852e-02 -4.61733992e+00 -3.67438365e-01  1.92990704e+00
  2.94086700e-02  3.82420409e+00  6.05529255e+00  2.52045060e+00]"
0,"[-305.89339936    0.45673663  -57.5131185    20.53787395   20.00715548
   12.62205685   -3.84168393   10.17415203    5.84283457   -7.22038905
    0.50550128    7.97743704    1.95932422   -2.55799796    2.73730967
    4.54215457   -1.3730494     1.08862556    7.16196096    3.05749304]"
0,"[-313.66872924  -13.87971457  -43.30741874   42.99931907   29.39609769
    2.46199262  -11.75928545   12.21254221    7.65882387   -8.5356753
    4.69713701    4.40793056   -5.53177623   -2.42987643    2.86629077
    0.78775108   -4.90803701    7.13550163    5.39475339   -1.55765478]"
0,"[-2.91498439e+02 -1.92437063e+01 -5.90288848e+01  4.07991046e+01
  2.44007579e+01  8.40786073e+00 -7.80161164e+00  5.18069658e+00
  5.18994661e+00 -1.23455828e+01  3.60756401e+00  7.60708537e+00
  1.78853381e+00 -4.40898353e+00 -1.13874876e+00 -6.78499532e-01
  1.10879086e+00  1.37086616e+01  4.93655406e+00  3.02281008e-02]"
0,"[-316.83829205  -28.15728401  -39.24025924   58.03351514   21.99989184
   -9.17722986   -6.53113987   16.75656319    2.65544574  -14.87337203
   10.2587426     1.70594707   -6.72385104   -1.68347483    1.32570005
    1.49298981   -4.41806238   10.32286131    2.08900854   -2.36844249]"
0,"[-301.84289206   -4.66772184  -60.08163403   25.08237439   29.08986543
   14.2890303   -14.85325714    1.204927      8.39593717   -0.81290765
    3.46255972   -3.89791296    0.412858      1.00418925    2.94016495
    0.73163248   -5.51369099    8.22967599    5.18000122    0.45835291]"
