label,features
0,"[ 2.17135693e-03  4.81517427e-03 -1.03699621e-02 -1.05425518e-03
 -4.04581800e-03 -9.08664521e-03  1.19744632e-02 -2.67679780e-03
  2.27826042e-03  1.67080406e-02 -2.20438950e-02  1.29368873e-02
 -1.08592687e-02  4.80115460e-03  3.07459920e-03 -6.98247179e-03
  5.81317581e-03 -1.56459138e-02  6.65492518e-03  9.24895503e-05
  1.03732233e-03  1.20112591e-03  2.40240688e-03 -6.81609521e-03
  6.67058863e-03 -3.65116703e-03  6.80644903e-03  5.50609082e-04
 -2.31234659e-03  4.74468758e-03 -8.11911467e-03  1.02362595e-02
 -1.38542540e-02  6.94402913e-03 -1.10502020e-02  3.26404208e-03
 -2.04068201e-04  1.42099836e-03  2.31180340e-03 -2.76917568e-03
  4.22843453e-03 -7.06746336e-03  8.42927489e-03 -4.30869684e-03
 -5.73243387e-03  3.00041400e-03  1.15203927e-03 -1.42798701e-03
  3.29636270e-03 -1.16906483e-02  6.44001039e-03 -1.59269441e-02
  1.90871302e-02 -1.22177405e-02  1.18310861e-02  6.82924147e-05
 -3.37987323e-03  9.92373563e-03 -9.86525696e-03  1.33870915e-02
 -7.03975046e-03  9.23119485e-03 -1.26939518e-02  1.39062814e-02]"
0,"[ 8.47012162e-01  1.26546788e+00  1.35963452e+00  1.36606812e+00
  1.75407767e+00  1.77549541e+00  1.76916647e+00  8.70906174e-01
  5.39766729e-01  6.09565318e-01  4.64686781e-01 -2.38385007e-01
 -6.01731576e-02  9.52299178e-01  5.78110218e-01 -1.45462900e-01
 -1.63799480e-01  1.21585190e-01 -4.90015000e-01 -6.09813988e-01
 -3.41973931e-01 -4.39717621e-01 -8.53768885e-01 -1.00727594e+00
 -5.67527354e-01 -7.68958390e-01 -1.22337627e+00 -1.19298494e+00
 -5.05605817e-01 -1.34556651e-01 -2.28704736e-01 -2.74730861e-01
 -1.16851664e+00 -9.25433993e-01  2.58525848e-01 -5.90405092e-02
 -5.70539534e-01 -1.48516059e-01  6.23221934e-01 -1.43390559e-02
 -5.62369302e-02  1.15876213e-01  1.02764815e-01 -2.54829526e-01
 -2.66048789e-01 -6.50646985e-02 -3.22017185e-02 -1.50290087e-01
 -3.72157127e-01  2.62581050e-01 -5.65611005e-01 -7.15894639e-01
 -3.54561150e-01  1.93929464e-01 -1.27172261e-01 -2.13945851e-01
  1.87559068e-01  2.02846363e-01 -1.14756383e-01 -1.97963640e-01
  1.92923069e-01  3.97869415e-04 -2.29848877e-01 -5.64669847e-01]"
0,"[ 0.57082313 -0.18408805  0.09978348 -0.359522   -0.91803366 -0.8687321
 -0.5764773  -0.11064754 -0.36092278 -0.7600021  -0.23287286 -0.17250898
 -0.8328636  -0.9428205  -0.85174793 -1.6325626  -0.8516476  -1.0144074
 -0.95502377 -0.3204612  -0.9034987  -0.6454044  -0.42884284 -0.10615833
 -0.01259146  0.00858859 -0.21741568 -0.49636847  0.27313542  0.41283354
  0.0915253   0.31213015  0.03934323  0.24284126  0.12695508  0.58242637
 -0.13732715 -0.3733499   0.54855806  0.12833264  0.17324167  0.4417766
  0.11628332 -0.23880745  0.03122475 -0.11504298  0.17301835  0.02865757
  0.42009038  0.03248378  0.36706707  0.7878741   0.3058631   0.5836385
  1.1488296   1.5316886   0.897693    1.2490625   0.58101326  0.6781996
  0.7632178   0.40911022  0.6004878   0.8623528 ]"
0,"[ 0.03510401  0.12371558  0.12119157 -0.49028987 -0.5382821  -0.7870627
 -0.27971992 -0.43956357 -0.0365536  -0.05888314 -0.5089514  -0.036412
  0.6064254   0.2814352   0.562144    0.35839397 -0.4669771  -0.61559933
 -0.35731766  0.8084084   0.72336453  0.709076    0.5673037   2.0049791
  0.4140588  -1.0125958  -0.43197894 -1.2245047  -0.12890376  0.58315736
  1.1511532   1.4742645  -0.12491888  0.06426454  0.49506763 -0.8396585
 -1.4390311  -1.9133695  -0.5671756   0.4966206   0.09360272  0.8708272
  0.8317257   0.02220604 -0.37705538  0.5438052   0.808797    0.24071862
 -0.8368269  -0.886875   -0.40975365 -1.1737577   0.82930267  0.92655975
  1.798146    1.7736878   0.12882331 -0.9906665  -1.7491454  -1.0723977
 -1.4257945  -0.726052    0.15311095  1.3446326 ]"
0,"[ 0.74368364 -0.06758881 -0.31381983  1.0503101   0.8738807   0.35750988
  0.18571109  0.99499696  0.7426142   0.45922557  1.0637262   0.09323969
  0.47443697  0.7532672  -0.09075076  0.5057765   0.9178884   0.8676247
  0.96192974  0.33379441  0.48359492  0.4154676   0.15096205 -0.09117633
 -0.07581989 -0.09360886 -0.3290747   0.1500855  -0.23233235  0.11989814
  0.31948936  0.4543114  -0.15251221 -1.4529397  -0.66486496 -0.33565345
 -0.4045002  -0.7064464  -1.0651121  -0.35419494 -0.97543335 -0.7769002
  0.05115425 -0.4444493  -0.8405921  -0.2952687  -0.41949096 -1.4912975
 -0.01534618  0.8350231  -0.08665584  0.10290006 -0.65659904 -0.9406972
  0.09381402  0.47057766  0.76355255 -0.40629643 -1.050083   -0.4694002
  0.19822739 -0.29345903 -0.54817265  0.15186252]"
0,"[ 1.3667953   0.9988338  -1.0680873  -1.5752137  -1.2819226  -0.47875673
  0.11009983  0.6435214   0.29560697 -0.8551726  -1.2021161  -0.9418685
 -0.6557923  -0.20790349  0.325747   -0.16164419 -1.0733905  -1.7355167
 -1.6383499  -1.3406962  -0.73101765 -0.09129956  0.7099316   0.29668972
 -0.26509225 -0.81401026 -1.5589544  -0.74244463 -0.47811827 -0.16173065
  0.18688887 -0.08425011 -0.2167264  -0.5388833  -0.5836123  -0.12853035
 -0.72836304 -0.5752774  -0.05960109  0.04681769 -0.29004258 -0.35930228
  0.45069757  1.190026    1.0156204   0.95045996  1.128791    0.5582989
  0.54577774  0.34780267  0.3932281   0.91522527  1.2461624   1.3768653
  1.3970718   1.5672421   1.3474771   0.75121653  1.0604757   0.56284136
 -0.04085239  0.11762411  0.15675692  0.60394776]"
0,"[ 0.19629642  0.4329147  -0.03962874  0.03529603  0.46887374  0.25980124
 -0.23274982  0.2748159   0.35502267 -0.07887869  0.4470899   0.22042479
  0.25519568  0.4041278   0.13261254 -0.36878464 -0.69697434 -0.9229066
 -1.0437821  -0.44476992 -0.84031683 -0.20342775  0.09604412 -0.4328076
  0.00747711 -0.15140918 -0.14644986  0.37551057 -0.27452955  0.16717054
  0.30187672 -0.9801906  -0.763798   -0.9020795  -0.9852292  -0.8942715
 -0.5980554   0.41367316  1.3129234   0.21726477 -0.92992836 -0.8617625
 -1.1918849  -1.5036417  -0.2973497   0.52621394  0.77464765  1.2093278
  1.2359556   1.136348    0.25747824  0.01967049  0.01139977  0.6363284
  0.35079873  0.209937    0.43240455  0.5154712   0.3636193   0.08457155
 -0.23522724 -0.3878801   0.8803692   1.3897609 ]"
0,"[ 0.44561616  0.32532465 -0.08721623 -0.59677607 -0.36054108 -0.5531719
 -0.77040786 -0.77756524 -0.5591308  -0.07808647  0.1445395   0.20642881
  0.00392365  0.73787934  0.80800575  0.11037091  0.44203907  0.2200192
  0.45780197 -0.6047389  -1.2851713  -0.59600544 -1.0464253  -0.9364325
 -0.6472452  -0.3241703  -0.42656496 -0.09004468 -0.0340012   0.4960295
  1.7707433   0.7838942  -0.01832896  0.47199535  0.16974565 -0.33344197
 -0.44709483  0.4474208   1.094585    0.09758285 -0.4115634   0.15514246
  1.1315056   1.4702373   0.74018306  0.12479652  0.32661414  1.033548
  0.6933806  -0.2462707  -1.2424319  -1.498378   -1.1440538  -0.81983227
 -0.75402004 -0.3453168   0.757371    0.45357218 -0.05200118  0.08272901
  0.3539884   0.53867227  0.42315182 -0.432409  ]"
0,"[ 1.0434127   0.60730326  0.35332763  0.8019257  -0.28720054 -0.8435382
  0.608831    0.3345726   0.11063629  0.5751657   0.344948    0.5446318
 -0.0327481  -0.40552694 -0.79522836  0.24288082  0.5209902  -0.07610875
 -0.5137689  -0.0976554   0.24255061 -0.22647443 -0.5818126  -0.8851357
 -0.64339155 -0.6297555  -0.2024688  -0.83738476 -0.4502701  -0.5873365
 -0.80716217 -0.7092613  -1.1960438  -1.2920595  -1.0035554  -0.34960276
 -0.6365442  -0.4163286  -0.61660117 -0.12881868  0.24137822  0.1401959
 -0.07425423 -0.4393277   0.38485366  0.8102303  -0.5577123  -0.8564883
  0.6471067  -0.00381208 -0.16390295  0.58854055  0.93191355  0.5996034
  0.7861002   1.0534794   0.1811167   0.05235118  0.4542643   0.5888289
  0.6670321   1.3433026   0.41836575  1.1274391 ]"
0,"[-0.5094569  -1.3268646  -0.6513372   0.13395679  0.62811077  0.17665266
 -0.183159   -0.05508991 -0.95907557 -1.9196844  -1.4576594  -0.7448922
  0.42197567  0.61758447  0.03198514 -1.19766    -1.156045   -0.04508753
  0.2865313   0.46396357  0.43306407  0.81891876 -0.05591631 -1.2001308
 -0.7277187  -0.10221574  0.23178771  0.9455712   2.1596155   1.9797039
 -0.30963248 -1.0393268  -0.20952682 -0.06429073 -0.11871619  0.84718513
  1.0659753  -0.00463983 -0.64411855 -0.26472643  0.21138728 -0.06226611
  0.1931488   0.2432271  -0.611318   -1.8130816  -0.7374755   0.9207838
  0.8284407   0.797089    0.4314651   0.25573018  0.15862252  0.357671
  0.32785252  0.18859556  0.33427665  0.76243854  0.6704516   0.30259904
  0.24730545 -0.12319267 -0.15290527 -0.02645596]"
